CNPJ_CIA;DENOM_CIA;TICKER
16.233.389/0001-55;CVLB BRASIL SA;NAO_ENCONTRADO
16.234.171/0001-15;METANOR SA METANOL DO NE;NAO_ENCONTRADO
16.404.287/0001-55;SUZANO SA;SUZB3.SA
16.590.234/0001-76;AZZAS 2154 SA;NAO_ENCONTRADO
16.614.075/0001-00;DIRECIONAL ENGENHARIA SA;DIRR3.SA
16.670.085/0001-55;LOCALIZA RENT A CAR SA;RENT3.SA
16.676.520/0001-59;HOSPITAL MATER DEI SA;MATD3.SA
16.811.931/0001-00;ALPHAVILLE SA;AVLL3.SA
16.922.038/0001-51;ENJOEI SA;ENJU3.SA
17.155.730/0001-64;CIA ENERGETICA DE MINAS GERAIS - CEMIG;CMIG4.SA
17.159.005/0001-64;FIACAO E TECELAGEM SAO JOSE SA;FTSJ4.SA
17.193.806/0001-46;CONSORCIO ALFA DE ADMINISTRACAO SA;NAO_ENCONTRADO
17.245.234/0001-00;CIA FIACAO TECIDOS CEDRO CACHOEIRA;CEDO4.SA
17.281.106/0001-03;CIA SANEAMENTO DE MINAS GERAIS-COPASA MG;CSMG3.SA
17.314.329/0001-20;INTERNATIONAL MEAL COMPANY ALIMENTACAO SA;MEAL3.SA
17.346.997/0001-39;;NOME_AUSENTE
17.943.792/0001-30;;NOME_AUSENTE
18.174.270/0001-84;DOTZ SA;DOTZ3.SA
18.328.118/0001-09;PET CENTER COMÉRCIO E PARTICIPAÇÕES SA;PETZ3.SA
18.483.666/0001-03;HUMBERG AGRIBRASIL COMÉRCIO E EXPORTAÇÃO DE GRÃOS SA;NAO_ENCONTRADO
18.572.225/0001-88;;NOME_AUSENTE
18.593.815/0001-97;PRINER SERVIÇOS INDUSTRIAIS SA;PRNR3.SA
18.903.785/0001-78;HOLDING DO ARAGUAIA SA;NAO_ENCONTRADO
19.014.221/0001-47;CHINA THREE GORGES BRASIL ENERGIA SA;NAO_ENCONTRADO
19.276.528/0001-16;;NOME_AUSENTE
19.296.342/0001-29;;NOME_AUSENTE
19.378.769/0001-76;;NOME_AUSENTE
19.403.252/0001-90;EMCCAMP RESIDENCIAL SA;NAO_ENCONTRADO
19.526.748/0001-50;COMPANHIA INDUSTRIAL CATAGUASES;CATA4.SA
19.688.956/0001-56;;NOME_AUSENTE
